Id,gameid,Team 1,League,Date,Team 2,Blue team losing,Blue team winning
,ESPORTSTMNT01_3334019,100 Thieves,LCS,25/03/2023,Golden Guardians,2.45,1.7
,ESPORTSTMNT01_3335003,Golden Guardians,LCS,25/03/2023,100 Thieves,1.7,2.45
,ESPORTSTMNT01_3333073,100 Thieves,LCS,26/03/2023,Golden Guardians,2.45,1.7
,ESPORTSTMNT01_3335201,Counter Logic Gaming,LCS,26/03/2023,Evil Geniuses,1.91,2.6
,ESPORTSTMNT01_3333294,Counter Logic Gaming,LCS,26/03/2023,Evil Geniuses,1.91,2.6
,ESPORTSTMNT01_3333302,Counter Logic Gaming,LCS,26/03/2023,Evil Geniuses,1.91,2.6
,ESPORTSTMNT06_2777123,Astralis,LEC,27/03/2023,Fnatic,1.91,2
,ESPORTSTMNT06_2778084,Team BDS,LEC,27/03/2023,Excel Esports,3.04,1.52
,ESPORTSTMNT06_2778074,G2 Esports,LEC,26/03/2023,Fnatic,3.8,1.41
,ESPORTSTMNT06_2778069,Team Vitality,LEC,26/03/2023,Team Heretics,3.6,1.4
,ESPORTSTMNT06_2777097,KOI,LEC,26/03/2023,Team BDS,2.25,1.99
,ESPORTSTMNT06_2777089,MAD Lions,LEC,26/03/2023,SK Gaming,1.95,2.22
,ESPORTSTMNT06_2776067,Excel Esports,LEC,26/03/2023,Astralis,1.67,2.36
,ESPORTSTMNT06_2777070,SK Gaming,LEC,25/03/2023,G2 Esports,1.46,3.04
,ESPORTSTMNT06_2776059,Fnatic,LEC,25/03/2023,MAD Lions,1.57,2.68
,ESPORTSTMNT06_2778032,Team Vitality,LEC,25/03/2023,Team BDS,3.05,1.44
,ESPORTSTMNT06_2777051,KOI,LEC,25/03/2023,Excel Esports,3.3,1.46
,ESPORTSTMNT06_2777029,Team Heretics,LEC,25/03/2023,Astralis,1.91,2.06
,ESPORTSTMNT06_2773972,Fnatic,LEC,20/03/2023,KOI,1.41,3.42
,ESPORTSTMNT06_2773965,Team BDS,LEC,20/03/2023,G2 Esports,1.34,3.6
,ESPORTSTMNT03_3131863,Astralis,LEC,20/03/2023,Team Vitality,1.31,4
,ESPORTSTMNT06_2773955,MAD Lions,LEC,20/03/2023,Team Heretics,3.2,1.43
,ESPORTSTMNT06_2773941,Excel Esports,LEC,20/03/2023,SK Gaming,1.52,3.1
,ESPORTSTMNT06_2775908,G2 Esports,LEC,19/03/2023,Team Vitality,2,2.08
,ESPORTSTMNT06_2775898,SK Gaming,LEC,19/03/2023,KOI,2.15,1.88
,ESPORTSTMNT06_2774934,Team Heretics,LEC,19/03/2023,Fnatic,2.35,1.7
,ESPORTSTMNT06_2775881,Excel Esports,LEC,19/03/2023,MAD Lions,1.31,3.71
,ESPORTSTMNT06_2774912,Team BDS,LEC,19/03/2023,Astralis,2.1,1.78
,ESPORTSTMNT06_2773874,KOI,LEC,18/03/2023,G2 Esports,1.39,3.3
,ESPORTSTMNT06_2774885,Team Vitality,LEC,18/03/2023,SK Gaming,2.51,1.56
,ESPORTSTMNT06_2774880,Fnatic,LEC,18/03/2023,Team BDS,1.5,3.04
,ESPORTSTMNT06_2775833,Team Heretics,LEC,18/03/2023,Excel Esports,2.06,1.98
,ESPORTSTMNT06_2774857,Astralis,LEC,18/03/2023,MAD Lions,1.59,2.7
,ESPORTSTMNT06_2773628,Fnatic,LEC,13/03/2023,Team Vitality,1.32,4.2
,ESPORTSTMNT06_2773618,G2 Esports,LEC,13/03/2023,Excel Esports,5,1.25
,ESPORTSTMNT06_2774623,MAD Lions,LEC,13/03/2023,KOI,2.05,2.15
,ESPORTSTMNT06_2774603,Team Heretics,LEC,13/03/2023,Team BDS,1.78,2.25
,ESPORTSTMNT06_2773569,SK Gaming,LEC,13/03/2023,Astralis,2.3,1.79
,ESPORTSTMNT06_2775531,KOI,LEC,12/03/2023,Team Heretics,3.01,1.5
,ESPORTSTMNT06_2775522,Astralis,LEC,12/03/2023,G2 Esports,1.23,5.57
,ESPORTSTMNT06_2774534,SK Gaming,LEC,12/03/2023,Fnatic,2.96,1.66
,ESPORTSTMNT06_2773526,Excel Esports,LEC,12/03/2023,Team Vitality,1.4,3.6
,ESPORTSTMNT06_2775495,Team BDS,LEC,12/03/2023,MAD Lions,1.47,3.04
,ESPORTSTMNT06_2775460,G2 Esports,LEC,11/03/2023,Team Heretics,4.8,1.25
,ESPORTSTMNT06_2773457,Astralis,LEC,11/03/2023,KOI,1.4,3.98
,ESPORTSTMNT06_2773449,Team Vitality,LEC,11/03/2023,MAD Lions,2.05,1.95
,ESPORTSTMNT06_2775434,Team BDS,LEC,11/03/2023,SK Gaming,1.9,2.05
,ESPORTSTMNT06_2775428,Excel Esports,LEC,11/03/2023,Fnatic,1.75,2.31
,ESPORTSTMNT04_2666301,MAD Lions,LEC,26/02/2023,G2 Esports,1.34,3.88
,ESPORTSTMNT04_2667287,MAD Lions,LEC,26/02/2023,G2 Esports,1.34,3.88
,ESPORTSTMNT04_2668245,G2 Esports,LEC,26/02/2023,MAD Lions,3.88,1.34
,ESPORTSTMNT04_2668240,KOI,LEC,25/02/2023,MAD Lions,2.27,1.8
,ESPORTSTMNT04_2666276,KOI,LEC,25/02/2023,MAD Lions,2.27,1.8
,ESPORTSTMNT04_2666274,MAD Lions,LEC,25/02/2023,KOI,1.8,2.27
,ESPORTSTMNT04_2666269,KOI,LEC,25/02/2023,MAD Lions,2.27,1.8
,ESPORTSTMNT01_3331246,INFINITY,LLA,23/03/2023 01:05,Isurus,1.64,2.5
,ESPORTSTMNT01_3332255,INFINITY,LLA,23/03/2023 00:12,Isurus,1.64,2.5
,ESPORTSTMNT01_3331239,Isurus,LLA,22/03/2023 23:10,INFINITY,2.5,1.64
,ESPORTSTMNT01_3330266,INFINITY,LLA,22/03/2023 22:10,Isurus,1.64,2.5
,ESPORTSTMNT01_3328976,All Knights,LLA,22/03/2023 00:12,INFINITY,1.57,2.82
,ESPORTSTMNT01_3328968,All Knights,LLA,21/03/2023 23:04,INFINITY,1.57,2.82
,ESPORTSTMNT01_3328958,INFINITY,LLA,21/03/2023 22:08,All Knights,2.82,1.57
,ESPORTSTMNT01_3326254,Isurus,LLA,16/03/2023 01:21,Movistar R7,1.91,2.14
,ESPORTSTMNT01_3325255,Movistar R7,LLA,16/03/2023 00:42,Isurus,2.14,1.91
,ESPORTSTMNT01_3326230,Movistar R7,LLA,15/03/2023 23:52,Isurus,2.14,1.91
,ESPORTSTMNT01_3325232,Isurus,LLA,15/03/2023 22:59,Movistar R7,1.91,2.14
,ESPORTSTMNT01_3326211,Movistar R7,LLA,15/03/2023 22:09,Isurus,2.14,1.91
,ESPORTSTMNT01_3323975,Estral Esports,LLA,15/03/2023 00:38,Six Karma,1.21,6
,ESPORTSTMNT01_3321978,Estral Esports,LLA,14/03/2023 23:46,Six Karma,1.21,6
,ESPORTSTMNT01_3321972,Six Karma,LLA,14/03/2023 22:59,Estral Esports,6,1.21
,ESPORTSTMNT01_3323952,Estral Esports,LLA,14/03/2023 22:13,Six Karma,1.21,6
,ESPORTSTMNT03_3121915,Team Aze,LLA,09/03/2023 01:02,Movistar R7,1.11,8.5
,ESPORTSTMNT03_3120918,Team Aze,LLA,09/03/2023 00:15,Movistar R7,1.11,8.5
,ESPORTSTMNT03_3122880,Estral Esports,LLA,08/03/2023 23:08,Six Karma,3.78,1.47
,ESPORTSTMNT03_3120880,Estral Esports,LLA,08/03/2023 22:13,Six Karma,3.78,1.47
,ESPORTSTMNT03_3120436,The Kings,LLA,08/03/2023 01:49,INFINITY,1.19,5.6
,ESPORTSTMNT04_2669307,Ä°stanbul Wildcats,TCL,24/03/2023 21:24,FUT Esports,2.61,1.65
,ESPORTSTMNT04_2672282,FUT Esports,TCL,24/03/2023 20:30,Ä°stanbul Wildcats,1.65,2.61
,ESPORTSTMNT04_2670306,Ä°stanbul Wildcats,TCL,24/03/2023 19:35,FUT Esports,2.61,1.65
,ESPORTSTMNT04_2669304,Ä°stanbul Wildcats,TCL,24/03/2023 18:36,FUT Esports,2.61,1.65
,ESPORTSTMNT04_2672274,Ä°stanbul Wildcats,TCL,24/03/2023 17:40,FUT Esports,2.61,1.65
