Name,Win %,patch
YasuoYasuo,53.54%,13.05
YasuoYasuo,56.58%,13.05
YasuoYasuo,45.24%,13.05
YoneYone,51.79%,13.05
YoneYone,53.29%,13.05
YorickYorick,44.68%,13.05
YuumiYuumi,51.49%,13.05
ZacZac,54.55%,13.05
ZacZac,60.00%,13.05
ZacZac,44.44%,13.05
ZacZac,45.65%,13.05
ZedZed,52.59%,13.05
ZedZed,42.22%,13.05
ZeriZeri,54.41%,13.05
ZiggsZiggs,64.44%,13.05
ZiggsZiggs,52.08%,13.05
ZileanZilean,53.19%,13.05
ZoeZoe,57.14%,13.05
ZyraZyra,42.86%,13.05
AatroxAatrox,48.35%,13.04
AhriAhri,52.99%,13.04
AkaliAkali,46.03%,13.04
AkaliAkali,47.79%,13.04
AkshanAkshan,62.50%,13.04
AkshanAkshan,46.95%,13.04
AlistarAlistar,50.00%,13.04
AlistarAlistar,44.64%,13.04
AlistarAlistar,31.91%,13.04
AmumuAmumu,52.17%,13.04
AmumuAmumu,47.79%,13.04
AniviaAnivia,52.67%,13.04
AnnieAnnie,51.22%,13.04
AnnieAnnie,56.93%,13.04
ApheliosAphelios,49.21%,13.04
AsheAshe,53.21%,13.04
AsheAshe,56.43%,13.04
Aurelion SolAurelion Sol,57.03%,13.04
AzirAzir,46.43%,13.04
BardBard,48.98%,13.04
Bel'VethBel'Veth,52.73%,13.04
BlitzcrankBlitzcrank,53.06%,13.04
BrandBrand,42.59%,13.04
BraumBraum,50.71%,13.04
CaitlynCaitlyn,50.84%,13.04
CamilleCamille,49.11%,13.04
CassiopeiaCassiopeia,64.10%,13.04
CassiopeiaCassiopeia,50.54%,13.04
Cho'GathCho'Gath,57.14%,13.04
Cho'GathCho'Gath,47.55%,13.04
Cho'GathCho'Gath,46.81%,13.04
CorkiCorki,51.47%,13.04
DariusDarius,51.77%,13.04
DianaDiana,55.81%,13.04
DianaDiana,43.21%,13.04
Dr. MundoDr. Mundo,57.63%,13.04
DravenDraven,52.62%,13.04
EkkoEkko,53.53%,13.04
EkkoEkko,50.00%,13.04
EliseElise,52.47%,13.04
EvelynnEvelynn,52.59%,13.04
EzrealEzreal,49.45%,13.04
FiddlesticksFiddlesticks,46.95%,13.04
FioraFiora,53.64%,13.04
FizzFizz,54.39%,13.04
GalioGalio,55.62%,13.04
GangplankGangplank,50.72%,13.04
GangplankGangplank,58.11%,13.04
GarenGaren,47.22%,13.04
GnarGnar,42.92%,13.04
GragasGragas,55.94%,13.04
GragasGragas,55.15%,13.04
GragasGragas,53.58%,13.04
GravesGraves,56.37%,13.04
GwenGwen,48.37%,13.04
HecarimHecarim,53.75%,13.04
HeimerdingerHeimerdinger,55.32%,13.04
